false_positive_rate,true_positive_rate_mean,true_positive_rate_p05,true_positive_rate_p95
0.6907630522088353,0.9982680312382192,0.997081372813395,0.9992965742836526
0.6947791164658634,0.9982905243390211,0.9971192770625716,0.9993057096825662
0.6987951807228915,0.9983130174398238,0.9971571813117484,0.9993148450814798
0.7028112449799196,0.9983355105406262,0.9971950855609251,0.9993239804803934
0.7068273092369477,0.9983580036414288,0.9972329898101018,0.9993331158793071
0.7108433734939759,0.9983804967422308,0.9972708940592785,0.9993422512782206
0.7148594377510039,0.9984029898430332,0.9973087983084551,0.9993513866771342
0.7188755020080321,0.9984254829438355,0.9973467025576319,0.9993605220760478
0.7228915662650601,0.9984479760446378,0.9973846068068085,0.9993696574749614
0.7269076305220883,0.9984704691454405,0.9974225110559852,0.999378792873875
0.7309236947791165,0.9984929622462425,0.9974604153051619,0.9993879282727887
0.7349397590361445,0.9985154553470446,0.9974983195543385,0.9993970636717022
0.7389558232931727,0.9985379484478475,0.9975362238035153,0.9994061990706159
0.7429718875502007,0.9985604415486498,0.997574128052692,0.9994153344695295
0.7469879518072289,0.9985829346494516,0.9976120323018687,0.999424469868443
0.7510040160642569,0.9986054277502544,0.9976499365510453,0.9994336052673566
0.7550200803212851,0.998627920851057,0.997687840800222,0.9994427406662703
0.7590361445783131,0.9986504139518592,0.9977257450493987,0.9994518760651838
0.7630522088353413,0.9986729070526613,0.9977636492985754,0.9994610114640974
0.7670682730923694,0.9986954001534637,0.9978015535477521,0.9994701468630109
0.7710843373493975,0.9987178932542663,0.9978394577969287,0.9994792822619246
0.7751004016064257,0.9987403863550681,0.9978773620461054,0.9994884176608383
0.7791164658634537,0.9987628794558709,0.9979152662952822,0.9994975530597519
0.7831325301204819,0.9987853725566731,0.9979531705444589,0.9995066884586655
0.78714859437751,0.9988078656574754,0.9979910747936355,0.9995158238575791
0.7911646586345381,0.998830358758278,0.9980289790428122,0.9995249592564927
0.7951807228915662,0.9988528518590801,0.9980668832919889,0.9995340946554062
0.7991967871485943,0.9988753449598826,0.9981047875411656,0.9995432300543199
0.8032128514056224,0.9988978380606847,0.9981426917903423,0.9995523654532334
0.8072289156626505,0.9989203311614875,0.998180596039519,0.9995615008521471
0.8112449799196786,0.9989428242622899,0.9982185002886956,0.9995706362510607
0.8152610441767068,0.9989653173630917,0.9982564045378723,0.9995797716499744
0.8192771084337349,0.9989878104638943,0.9982943087870491,0.9995889070488879
0.823293172690763,0.9990103035646969,0.9983322130362258,0.9995980424478015
0.8273092369477911,0.999032796665499,0.9983701172854025,0.999607177846715
0.8313253012048192,0.9990552897663016,0.9984080215345791,0.9996163132456287
0.8353413654618473,0.9990777828671036,0.9984459257837558,0.9996254486445423
0.8393574297188754,0.999100275967906,0.9984838300329325,0.9996345840434558
0.8433734939759036,0.9991227690687086,0.9985217342821092,0.9996437194423694
0.8473895582329316,0.9991452621695106,0.9985596385312858,0.9996528548412831
0.8514056224899598,0.9991677552703132,0.9985975427804625,0.9996619902401968
0.8554216867469878,0.999190248371115,0.9986354470296392,0.9996711256391103
0.859437751004016,0.9992127414719181,0.9986733512788158,0.9996802610380239
0.8634538152610441,0.99923523457272,0.9987112555279926,0.9996893964369375
0.8674698795180722,0.9992577276735222,0.9987491597771693,0.9996985318358511
0.8714859437751004,0.9992802207743249,0.998787064026346,0.9997076672347647
0.8755020080321284,0.9993027138751269,0.9988249682755227,0.9997168026336783
0.8795180722891566,0.9993252069759296,0.9988628725246994,0.9997259380325919
0.8835341365461846,0.9993477000767322,0.998900776773876,0.9997350734315056
0.8875502008032128,0.9993701931775343,0.9989386810230527,0.9997442088304191
0.8915662650602408,0.9993926862783366,0.9989765852722294,0.9997533442293327
0.895582329317269,0.9994151793791387,0.999014489521406,0.9997624796282463
0.899598393574297,0.9994376724799412,0.9990523937705827,0.9997716150271599
0.9036144578313252,0.9994601655807439,0.9990902980197595,0.9997807504260735
0.9076305220883534,0.9994826586815462,0.9991282022689362,0.9997898858249872
0.9116465863453814,0.9995051517823482,0.9991661065181129,0.9997990212239007
0.9156626506024096,0.9995276448831507,0.9992040107672896,0.9998081566228143
0.9196787148594376,0.9995501379839529,0.9992419150164662,0.9998172920217279
0.9236947791164658,0.9995726310847556,0.9992798192656429,0.9998264274206415
0.9277108433734939,0.9995951241855577,0.9993177235148196,0.9998355628195552
0.931726907630522,0.9996176172863603,0.9993556277639963,0.9998446982184688
0.9357429718875501,0.9996401103871626,0.999393532013173,0.9998538336173823
0.9397590361445782,0.9996626034879645,0.9994314362623496,0.999862969016296
0.9437751004016064,0.9996850965887673,0.9994693405115264,0.9998721044152096
0.9477911646586344,0.9997075896895693,0.9995072447607031,0.9998812398141231
0.9518072289156626,0.9997300827903715,0.9995451490098798,0.9998903752130368
0.9558232931726907,0.999752575891174,0.9995830532590564,0.9998995106119504
0.9598393574297188,0.9997750689919765,0.9996209575082331,0.999908646010864
0.9638554216867469,0.9997975620927793,0.9996588617574098,0.9999177814097776
0.967871485943775,0.999820055193581,0.9996967660065864,0.9999269168086912
0.9718875502008031,0.9998425482943838,0.9997346702557632,0.9999360522076047
0.9759036144578312,0.9998650413951861,0.9997725745049398,0.9999451876065184
0.9799196787148593,0.9998875344959879,0.9998104787541165,0.999954323005432
0.9839357429718875,0.9999100275967906,0.9998483830032933,0.9999634584043455
0.9879518072289156,0.9999325206975931,0.99988628725247,0.9999725938032592
0.9919678714859437,0.9999550137983952,0.9999241915016467,0.9999817292021728
0.9959839357429718,0.9999775068991975,0.9999620957508234,0.9999908646010863
1.0,1.0,1.0,1.0
